               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078024,            0.028887,            0.049016,             0.47222,             0.71299,             0.57112,             0.21056,            0.035787,            0.012739,            0.029767,              0.0702,           0.0033111,           0.0033111
                   1,            0.052136,            0.018844,            0.034005,             0.42245,             0.71197,             0.56938,             0.22435,            0.035075,           0.0077526,            0.019136,            0.040068,           0.0065129,           0.0065129
                   2,            0.050147,            0.014347,            0.023203,             0.53641,             0.80492,             0.75611,             0.33195,            0.035759,           0.0067826,            0.011927,           0.0098049,           0.0095827,           0.0095827
                   3,            0.046302,            0.012491,            0.018243,             0.63868,             0.92127,             0.88841,             0.53132,            0.024867,           0.0066298,             0.00872,            0.009406,            0.009406,            0.009406
                   4,            0.040096,             0.01184,            0.014246,             0.84039,             0.93233,             0.90651,             0.53481,            0.021967,           0.0061258,           0.0098078,            0.009406,            0.009406,            0.009406
                   5,            0.036339,            0.011058,            0.011616,             0.90954,             0.95847,             0.96841,              0.6304,            0.023412,           0.0058883,            0.005774,            0.009208,            0.009208,            0.009208
                   6,            0.034131,            0.010469,           0.0094302,             0.88984,             0.96567,              0.9803,             0.68881,            0.017098,           0.0051556,           0.0050075,             0.00901,             0.00901,             0.00901
                   7,            0.032613,            0.010354,            0.010019,             0.84811,             0.96257,             0.96364,             0.73344,             0.01835,           0.0059326,           0.0033246,            0.008812,            0.008812,            0.008812
                   8,             0.03147,            0.010437,           0.0088068,             0.96592,             0.95743,             0.98771,             0.75461,            0.018634,           0.0050595,           0.0041446,            0.008614,            0.008614,            0.008614
                   9,            0.030307,           0.0097886,           0.0079806,              0.8914,             0.98429,             0.98652,             0.78265,            0.016326,           0.0054374,           0.0026844,            0.008416,            0.008416,            0.008416
                  10,            0.028273,           0.0097123,           0.0095114,             0.97038,             0.99883,             0.99454,             0.78207,            0.015913,           0.0052711,           0.0020163,            0.008218,            0.008218,            0.008218
                  11,            0.028624,           0.0097655,           0.0078506,             0.98533,             0.99153,             0.99474,             0.76259,             0.01791,           0.0050595,           0.0021934,             0.00802,             0.00802,             0.00802
                  12,            0.027259,           0.0094095,           0.0080895,             0.98378,             0.99997,             0.99441,             0.77272,            0.014968,           0.0050096,           0.0020204,            0.007822,            0.007822,            0.007822
                  13,            0.026643,           0.0093522,           0.0065305,             0.98764,             0.97794,             0.99283,             0.82765,             0.01371,           0.0047863,           0.0024296,            0.007624,            0.007624,            0.007624
                  14,            0.025779,           0.0094405,           0.0067128,             0.98152,             0.99356,             0.99319,             0.81888,            0.013723,           0.0048032,           0.0023533,            0.007426,            0.007426,            0.007426
                  15,            0.025625,           0.0090044,           0.0059535,             0.87786,             0.94745,             0.97755,             0.80326,            0.012488,           0.0048842,           0.0087445,            0.007228,            0.007228,            0.007228
                  16,            0.024908,           0.0091186,           0.0062911,             0.93789,             0.95797,             0.98657,             0.82409,            0.012463,           0.0045971,           0.0045155,             0.00703,             0.00703,             0.00703
                  17,            0.024721,           0.0091543,            0.005909,             0.99337,             0.99579,               0.995,             0.81372,            0.012987,           0.0045856,           0.0013164,            0.006832,            0.006832,            0.006832
                  18,            0.023803,           0.0086103,           0.0052883,              0.9901,             0.99563,             0.99493,             0.83275,             0.01145,           0.0043621,           0.0015728,            0.006634,            0.006634,            0.006634
                  19,            0.022907,           0.0083524,           0.0053535,             0.98876,             0.99359,             0.99487,             0.82319,            0.011784,           0.0042332,           0.0016497,            0.006436,            0.006436,            0.006436
                  20,            0.022535,            0.008472,           0.0050594,             0.99276,             0.99528,             0.99493,             0.86428,            0.011446,            0.004245,           0.0014261,            0.006238,            0.006238,            0.006238
                  21,            0.022192,           0.0081846,           0.0053074,             0.96098,             0.97275,             0.99217,             0.85803,            0.010174,           0.0042657,           0.0030065,             0.00604,             0.00604,             0.00604
                  22,            0.020837,           0.0082827,           0.0051087,             0.99604,                   1,               0.995,              0.8416,            0.010862,           0.0041611,           0.0009261,            0.005842,            0.005842,            0.005842
                  23,            0.021323,           0.0085126,           0.0053437,             0.99083,             0.99044,             0.99461,             0.86016,            0.010511,           0.0042387,           0.0014056,            0.005644,            0.005644,            0.005644
                  24,            0.020959,           0.0082419,           0.0045592,             0.99488,             0.99667,             0.99448,             0.87663,           0.0087534,           0.0039161,           0.0010323,            0.005446,            0.005446,            0.005446
                  25,            0.021442,           0.0082357,           0.0046392,             0.99039,             0.99211,             0.99487,             0.85346,            0.011213,           0.0055015,           0.0012831,            0.005248,            0.005248,            0.005248
                  26,            0.020824,           0.0081661,           0.0046833,             0.99679,             0.99412,               0.995,             0.88021,           0.0090547,           0.0039003,           0.0010418,             0.00505,             0.00505,             0.00505
                  27,            0.019895,           0.0078562,           0.0041265,             0.99372,             0.99675,             0.99493,             0.86774,           0.0097164,           0.0039135,           0.0010258,            0.004852,            0.004852,            0.004852
                  28,            0.019211,           0.0076428,           0.0044669,             0.99811,                   1,               0.995,             0.87418,           0.0088377,            0.003797,          0.00076408,            0.004654,            0.004654,            0.004654
                  29,            0.018804,           0.0076344,           0.0036536,              0.9973,             0.99724,               0.995,             0.86128,           0.0097696,           0.0038324,          0.00079134,            0.004456,            0.004456,            0.004456
                  30,            0.018264,           0.0075563,            0.003593,             0.99838,             0.99925,               0.995,             0.87328,           0.0087159,           0.0035674,          0.00069839,            0.004258,            0.004258,            0.004258
                  31,            0.018518,           0.0075427,           0.0034546,             0.97231,             0.97441,             0.99448,             0.88187,           0.0083397,            0.003551,           0.0026516,             0.00406,             0.00406,             0.00406
                  32,            0.018589,           0.0077558,           0.0030392,             0.99815,             0.99966,               0.995,             0.88105,           0.0090789,           0.0037306,           0.0005718,            0.003862,            0.003862,            0.003862
                  33,            0.017724,           0.0075464,           0.0034159,             0.99809,                   1,               0.995,             0.88613,           0.0083788,           0.0035531,          0.00060346,            0.003664,            0.003664,            0.003664
                  34,            0.017615,           0.0072746,           0.0032344,             0.99842,                   1,               0.995,             0.89192,           0.0085695,           0.0036633,          0.00054894,            0.003466,            0.003466,            0.003466
                  35,            0.017378,            0.007403,           0.0033392,             0.99239,               0.994,             0.99186,             0.87993,           0.0089398,           0.0035323,           0.0011236,            0.003268,            0.003268,            0.003268
                  36,            0.016661,           0.0071599,           0.0034629,             0.99844,             0.99932,               0.995,             0.88848,           0.0081599,           0.0034336,          0.00049131,             0.00307,             0.00307,             0.00307
                  37,            0.016315,           0.0072254,           0.0027594,             0.99493,             0.99751,               0.995,             0.89191,           0.0081172,           0.0033911,          0.00058949,            0.002872,            0.002872,            0.002872
                  38,            0.015475,           0.0071378,           0.0022796,             0.99382,             0.99865,               0.995,             0.88708,           0.0082012,           0.0034633,          0.00064579,            0.002674,            0.002674,            0.002674
                  39,            0.016124,           0.0071014,           0.0026331,             0.99855,                   1,               0.995,             0.90014,           0.0080012,           0.0033236,          0.00037217,            0.002476,            0.002476,            0.002476
                  40,             0.01492,           0.0068314,           0.0024059,               0.993,             0.99684,               0.995,             0.90243,           0.0073698,           0.0032492,          0.00068062,            0.002278,            0.002278,            0.002278
                  41,            0.014224,           0.0068599,           0.0024559,             0.99815,                   1,               0.995,              0.8942,           0.0081533,           0.0033701,          0.00043653,             0.00208,             0.00208,             0.00208
                  42,            0.014235,           0.0068572,            0.002787,             0.99856,                   1,               0.995,             0.89001,           0.0078522,           0.0032548,          0.00031822,            0.001882,            0.001882,            0.001882
                  43,            0.014363,           0.0067932,           0.0019363,             0.99855,                   1,               0.995,             0.90478,           0.0070706,           0.0030907,          0.00030553,            0.001684,            0.001684,            0.001684
                  44,            0.014206,           0.0064567,            0.001703,             0.99548,             0.99716,               0.995,             0.91422,           0.0069281,           0.0031186,          0.00041346,            0.001486,            0.001486,            0.001486
                  45,            0.013439,            0.006409,           0.0023223,             0.99862,                   1,               0.995,              0.9117,           0.0069303,            0.003165,          0.00026367,            0.001288,            0.001288,            0.001288
                  46,            0.013817,           0.0064657,           0.0019549,             0.99861,                   1,               0.995,             0.91193,           0.0069898,           0.0031456,          0.00022361,             0.00109,             0.00109,             0.00109
                  47,            0.013542,           0.0064498,           0.0022476,             0.99863,                   1,               0.995,             0.91169,           0.0069405,            0.003132,          0.00020715,            0.000892,            0.000892,            0.000892
                  48,            0.013147,           0.0065347,            0.001806,              0.9986,                   1,               0.995,             0.90738,           0.0069638,           0.0031053,          0.00018873,            0.000694,            0.000694,            0.000694
                  49,            0.012811,            0.006285,           0.0018829,             0.99858,                   1,               0.995,             0.90938,           0.0068573,           0.0030402,          0.00017113,            0.000496,            0.000496,            0.000496
